"entity_id","Place","Province","ProvinceCode","Coordinate"
"T0E","Western Alberta (Jasper)","Alberta","AB","[-117.2308,53.4021]"
"T0A","Eastern Alberta (St. Paul)","Alberta","AB","[-111.7174,54.766]"
"T0B","Wainwright Region (Tofield)","Alberta","AB","[-111.5816,53.0727]"
"T0C","Central Alberta (Stettler)","Alberta","AB","[-112.8113,52.4922]"
"T0H","Northwestern Alberta (High Level)","Alberta","AB","[-116.9153,57.5403]"
"T0G","North Central Alberta (Slave Lake)","Alberta","AB","[-114.4529,55.6993]"
"T0J","Southeastern Alberta (Drumheller)","Alberta","AB","[-111.4632,50.9944]"
"T0K","International Border Region (Cardston)","Alberta","AB","[-112.2408,49.4721]"
"T0L","Kananaskis Country (Claresholm)","Alberta","AB","[-114.4089,50.6314]"
"T0M","Central Foothills (Sundre)","Alberta","AB","[-114.8691,51.9552]"
"T0P","Northeastern Alberta (Fort Chipewyan)","Alberta","AB","[-111.5094,58.1176]"
"T0V","Remote Northeast (Fitzgerald)","Alberta","AB","[-111.6717,59.9049]"
"T1A","Medicine Hat Central","Alberta","AB","[-110.5788,50.0816]"
"T1B","Medicine Hat South","Alberta","AB","[-110.5203,49.835]"
"T1C","Medicine Hat North","Alberta","AB","[-110.6911,50.0774]"
"T1G","Taber","Alberta","AB","[-112.146,49.787]"
"T1H","Lethbridge North","Alberta","AB","[-112.8186,49.7]"
"T1J","Lethbridge West and Central","Alberta","AB","[-112.7484,49.6581]"
"T1K","Lethbridge Southeast","Alberta","AB","[-112.8351,49.6511]"
"T1L","Banff","Alberta","AB","[-115.5698,51.1762]"
"T1M","Coaldale","Alberta","AB","[-112.6185,49.7167]"
"T1P","Strathmore","Alberta","AB","[-113.3852,51.0501]"
"T1R","Brooks","Alberta","AB","[-111.8851,50.5834]"
"T1S","Okotoks","Alberta","AB","[-113.9695,50.7362]"
"T1V","High River","Alberta","AB","[-113.8687,50.5834]"
"T1X","Chestermere","Alberta","AB","[-113.8187,51.0334]"
"T1W","Canmore","Alberta","AB","[-115.3461,51.0876]"
"T1Y","Calgary (Rundle / Whitehorn / Monterey Park)","Alberta","AB","[-113.9578,51.0823]"
"T1Z","Rocky View","Alberta","AB","[-113.9353,51.1834]"
"T2A","Calgary (Penbrooke Meadows / Marlborough)","Alberta","AB","[-113.9564,51.0494]"
"T2B","Calgary (Forest Lawn / Dover / Erin Woods)","Alberta","AB","[-113.981,51.0209]"
"T2C","Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains)","Alberta","AB","[-113.9634,50.987]"
"T2E","Calgary (Bridgeland / Greenview / Zoo / YYC)","Alberta","AB","[-114.0214,51.0876]"
"T2H","Calgary (Highfield / Burns Industrial)","Alberta","AB","[-114.052,50.9894]"
"T2G","Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome)","Alberta","AB","[-114.0349,51.0272]"
"T2J","Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia)","Alberta","AB","[-114.1958,50.8476]"
"T2K","Calgary (Thornecliffe / Tuxedo)","Alberta","AB","[-114.0477,51.1111]"
"T2L","Calgary (Brentwood / Collingwood / Nose Hill)","Alberta","AB","[-114.1148,51.1047]"
"T2M","Calgary (Mount Pleasant / Capitol Hill / Banff Trail)","Alberta","AB","[-113.856,51.133]"
"T2P","Calgary (City Centre / Calgary Tower)","Alberta","AB","[-113.6931,51.0708]"
"T2N","Calgary (Kensington / Westmont / Parkdale / University)","Alberta","AB","[-114.1159,51.0621]"
"T2S","Calgary (Elbow Park / Britannia / Parkhill / Mission)","Alberta","AB","[-114.071,51.0233]"
"T2R","Calgary (Connaught / West Victoria Park)","Alberta","AB","[-114.0762,51.0412]"
"T2T","Calgary South (Altadore / Bankview / Richmond)","Alberta","AB","[-114.1004,51.0242]"
"T2V","Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park)","Alberta","AB","[-114.1004,50.9819]"
"T2W","Calgary (Braeside / Woodbine)","Alberta","AB","[-114.3591,50.9514]"
"T2X","Calgary (Midnapore / Sundance)","Alberta","AB","[-114.0326,50.8837]"
"T2Y","Calgary (Millrise / Somerset / Bridlewood / Evergreen)","Alberta","AB","[-114.1028,50.9093]"
"T2Z","Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard)","Alberta","AB","[-113.9682,50.9278]"
"T3A","Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley)","Alberta","AB","[-114.1419,51.1264]"
"T3C","Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta)","Alberta","AB","[-114.1394,51.0497]"
"T3B","Calgary (Montgomery / Bowness / Silver Springs / Greenwood)","Alberta","AB","[-114.2073,51.0915]"
"T3E","Calgary (Lakeview / Glendale / Killarney / Glamorgan)","Alberta","AB","[-114.1574,50.9899]"
"T3G","Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge)","Alberta","AB","[-114.2015,51.1387]"
"T3H","Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge)","Alberta","AB","[-114.2,51.0419]"
"T3J","Calgary (Martindale / Taradale / Falconridge / Saddle Ridge)","Alberta","AB","[-113.9471,51.1188]"
"T3K","Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington)","Alberta","AB","[-114.0572,51.1563]"
"T3L","Calgary (Tuscany / Scenic Acres)","Alberta","AB","[-114.3133,51.1467]"
"T3M","Calgary (Cranston)","Alberta","AB","[-113.9555,50.8796]"
"T3N","Calgary Northeast","Alberta","AB","[-113.9537,51.1626]"
"T3P","Calgary (Symons Valley)","Alberta","AB","[-114.1348,51.2074]"
"T3R","Calgary Northwest","Alberta","AB","[-114.2453,51.2021]"
"T3S","Calgary","Alberta","AB","[-113.8932,50.9153]"
"T3Z","Redwood Meadows","Alberta","AB","[-114.4727,51.0691]"
"T4A","Airdrie East","Alberta","AB","[-113.988,51.2799]"
"T4B","Airdrie West","Alberta","AB","[-114.0398,51.3082]"
"T4C","Cochrane","Alberta","AB","[-114.4687,51.1834]"
"T4E","Red Deer County","Alberta","AB","[-113.7239,52.212]"
"T4G","Innisfail","Alberta","AB","[-113.9507,52.0269]"
"T4J","Ponoka","Alberta","AB","[-113.5815,52.6768]"
"T4H","Olds","Alberta","AB","[-114.102,51.7834]"
"T4N","Red Deer Central","Alberta","AB","[-113.8358,52.2316]"
"T4L","Lacombe","Alberta","AB","[-113.7353,52.4668]"
"T4P","Red Deer North","Alberta","AB","[-113.8073,52.2954]"
"T4S","Sylvan Lake","Alberta","AB","[-114.0853,52.3168]"
"T4R","Red Deer South","Alberta","AB","[-113.7784,52.2424]"
"T4V","Camrose","Alberta","AB","[-112.8353,53.0168]"
"T4T","Rocky Mountain House","Alberta","AB","[-114.9188,52.3668]"
"T4X","Beaumont","Alberta","AB","[-113.4187,53.3501]"
"T5B","Edmonton (East North Central / West Beverly)","Alberta","AB","[-113.3369,53.7353]"
"T5A","Edmonton (West Clareview / East Londonderry)","Alberta","AB","[-113.4077,53.5931]"
"T5E","Edmonton (West Londonderry / East Calder)","Alberta","AB","[-113.4524,53.7358]"
"T5C","Edmonton (Central Londonderry)","Alberta","AB","[-113.4549,53.5996]"
"T5G","Edmonton (North Central / Queen Mary Park / YXD)","Alberta","AB","[-113.5051,53.5705]"
"T5H","Edmonton (North and East Downtown Fringe)","Alberta","AB","[-113.4916,53.5514]"
"T5J","Edmonton (North Downtown)","Alberta","AB","[-113.4974,53.5428]"
"T5K","Edmonton (South Downtown / South Downtown Fringe)","Alberta","AB","[-113.5103,53.5366]"
"T5L","Edmonton (North Westmount / West Calder / East Mistatim)","Alberta","AB","[-113.5526,53.585]"
"T5N","Edmonton (Glenora / SW Downtown Fringe)","Alberta","AB","[-113.5574,53.5436]"
"T5M","Edmonton (South Westmount / Groat Estate / East Northwest Industrial)","Alberta","AB","[-113.5662,53.563]"
"T5R","Edmonton (Central Jasper Place / Buena Vista)","Alberta","AB","[-113.5797,53.5181]"
"T5P","Edmonton (North Jasper Place)","Alberta","AB","[-113.5957,53.5463]"
"T5S","Edmonton (West Northwest Industrial / Winterburn)","Alberta","AB","[-113.6697,53.5634]"
"T5V","Edmonton (Central Mistatim)","Alberta","AB","[-113.6224,53.5848]"
"T5T","Edmonton West (West Jasper Place / West Edmonton Mall)","Alberta","AB","[-113.6579,53.5185]"
"T5X","Edmonton (East Castledowns)","Alberta","AB","[-113.5245,53.6313]"
"T5W","Edmonton (Central Beverly)","Alberta","AB","[-113.4022,53.5645]"
"T5Y","Edmonton (Landbank / Oliver / East Lake District)","Alberta","AB","[-113.3614,53.6585]"
"T5Z","Edmonton (West Lake District)","Alberta","AB","[-113.4673,53.6365]"
"T6A","Edmonton (North Capilano)","Alberta","AB","[-113.4318,53.5482]"
"T6C","Edmonton (Central Bonnie Doon)","Alberta","AB","[-113.459,53.522]"
"T6B","Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon)","Alberta","AB","[-113.4194,53.5128]"
"T6G","Edmonton (West University / Strathcona Place)","Alberta","AB","[-113.5324,53.521]"
"T6E","Edmonton (South Bonnie Doon / East University)","Alberta","AB","[-113.4802,53.4914]"
"T6H","Edmonton (Southgate / North Riverbend)","Alberta","AB","[-113.4585,53.3753]"
"T6K","Edmonton (West Mill Woods)","Alberta","AB","[-113.4519,53.4609]"
"T6J","Edmonton (Kaskitayo)","Alberta","AB","[-113.521,53.4564]"
"T6M","Edmonton Southwest","Alberta","AB","[-113.6546,53.4593]"
"T6L","Edmonton (East Mill Woods)","Alberta","AB","[-113.4145,53.4593]"
"T6N","Edmonton (South Industrial)","Alberta","AB","[-113.4776,53.465]"
"T6R","Edmonton (Riverbend)","Alberta","AB","[-113.5801,53.4567]"
"T6P","Edmonton (East Southeast Industrial / South Clover Bar)","Alberta","AB","[-113.3723,53.5078]"
"T6S","Edmonton (North Clover Bar)","Alberta","AB","[-113.3374,53.5806]"
"T6T","Edmonton (Meadows)","Alberta","AB","[-113.371,53.4617]"
"T6V","Edmonton (West Castledowns)","Alberta","AB","[-113.5746,53.6112]"
"T6W","Edmonton (Heritage Valley)","Alberta","AB","[-113.5785,53.4179]"
"T7A","Drayton Valley","Alberta","AB","[-114.9854,53.2168]"
"T6X","Edmonton (Ellerslie)","Alberta","AB","[-113.4178,53.4154]"
"T7E","Edson","Alberta","AB","[-116.4356,53.5834]"
"T7N","Barrhead","Alberta","AB","[-114.4021,54.1334]"
"T7P","Westlock","Alberta","AB","[-113.8688,54.1502]"
"T7V","Hinton","Alberta","AB","[-117.5857,53.4001]"
"T7S","Whitecourt","Alberta","AB","[-115.6855,54.1501]"
"T7X","Spruce Grove North","Alberta","AB","[-113.9187,53.5334]"
"T7Y","Spruce Grove South","Alberta","AB","[-113.8097,53.4184]"
"T8B","Sherwood Park Outer Southwest","Alberta","AB","[-113.2952,53.4397]"
"T8A","Sherwood Park West","Alberta","AB","[-113.2512,53.528]"
"T7Z","Stony Plain","Alberta","AB","[-114.0021,53.5334]"
"T8C","Sherwood Park Inner Southwest","Alberta","AB","[-113.1903,53.4391]"
"T8E","Sherwood Park Central","Alberta","AB","[-113.1022,53.5225]"
"T8L","Fort Saskatchewan","Alberta","AB","[-113.2187,53.7168]"
"T8G","Sherwood Park East","Alberta","AB","[-112.9529,53.5052]"
"T8H","Sherwood Park Northwest","Alberta","AB","[-113.2952,53.556]"
"T8N","St. Albert","Alberta","AB","[-113.6353,53.6334]"
"T8S","Peace River","Alberta","AB","[-117.286,56.2501]"
"T8T","St. Albert","Alberta","AB","[-113.7102,53.6867]"
"T8R","Morinville","Alberta","AB","[-113.652,53.8001]"
"T8V","Grande Prairie Central","Alberta","AB","[-118.7582,55.173]"
"T8X","Grande Prairie East","Alberta","AB","[-118.7457,55.1834]"
"T8W","Grande Prairie South","Alberta","AB","[-118.8036,55.1359]"
"T9C","Vegreville","Alberta","AB","[-112.0518,53.5001]"
"T9A","Wetaskiwin","Alberta","AB","[-113.3687,52.9668]"
"T9E","Leduc","Alberta","AB","[-113.552,53.2668]"
"T9G","Devon","Alberta","AB","[-113.7353,53.3668]"
"T9H","Fort McMurray Outer Central","Alberta","AB","[-111.1357,56.664]"
"T9K","Fort McMurray Northwest","Alberta","AB","[-111.435,56.7538]"
"T9J","Fort McMurray Inner Central","Alberta","AB","[-111.3771,56.707]"
"T9S","Athabasca","Alberta","AB","[-113.2854,54.7169]"
"T9N","Bonnyville","Alberta","AB","[-110.7351,54.2668]"
"T9M","Cold Lake","Alberta","AB","[-110.2017,54.4502]"
"T9V","Lloydminster","Alberta","AB","[-110.0853,53.2717]"
"T9W","Wainwright","Alberta","AB","[-110.8572,52.839]"
"T9X","Vermilion","Alberta","AB","[-110.8517,53.3669]"
"V0A","Upper Columbia Region (Golden)","British Columbia","BC","[-116.939,51.2994]"
"V0C","Northern British Columbia (Fort Nelson)","British Columbia","BC","[-125.7167,58.3874]"
"V0B","East Kootenays (Fernie)","British Columbia","BC","[-115.5636,49.6775]"
"V0E","Central Okanagan and High Country (Revelstoke)","British Columbia","BC","[-119.2034,51.505]"
"V0G","West Kootenays (Rossland)","British Columbia","BC","[-117.4291,50.053]"
"V0J","Omineca and Yellowhead (Smithers)","British Columbia","BC","[-126.8574,55.9964]"
"V0H","South Okanagan (Summerland)","British Columbia","BC","[-119.0054,49.4089]"
"V0K","Cariboo and West Okanagan (100 Mile House)","British Columbia","BC","[-121.6384,51.4367]"
"V0L","Chilcotin (Alexis Creek)","British Columbia","BC","[-123.6526,52.0993]"
"V0M","Harrison Lake Region (Agassiz)","British Columbia","BC","[-122.038,49.6346]"
"V0N","North Island, Sunshine Coast, and Southern Gulf Islands (Whistler)","British Columbia","BC","[-125.1793,50.5838]"
"V0P","North Central Island and Bute Inlet Region (Gold River)","British Columbia","BC","[-125.6093,50.3885]"
"V0T","Inside Passage and the Queen Charlottes (Queen Charlotte City)","British Columbia","BC","[-128.5226,52.5629]"
"V0S","Juan de Fuca Shore (Sooke)","British Columbia","BC","[-124.1515,48.557]"
"V0R","Central Island (Chemainus)","British Columbia","BC","[-124.8461,49.027]"
"V0V","Lower Skeena (Port Edward)","British Columbia","BC","[-129.8986,53.9725]"
"V0W","Atlin Region (Atlin)","British Columbia","BC","[-133.5433,59.6378]"
"V0X","Similkameen (Hope)","British Columbia","BC","[-120.6569,49.3688]"
"V1B","Vernon East","British Columbia","BC","[-118.938,50.084]"
"V1A","Kimberley","British Columbia","BC","[-115.9855,49.6832]"
"V1C","Cranbrook","British Columbia","BC","[-115.7688,49.4999]"
"V1E","Salmon Arm","British Columbia","BC","[-119.2691,50.6998]"
"V1H","Vernon West","British Columbia","BC","[-119.4975,50.2868]"
"V1G","Dawson Creek","British Columbia","BC","[-120.2362,55.7666]"
"V1K","Merritt","British Columbia","BC","[-120.7942,50.1122]"
"V1J","Fort St. John","British Columbia","BC","[-120.8529,56.2499]"
"V1L","Nelson","British Columbia","BC","[-117.2855,49.4999]"
"V1M","Langley Township North","British Columbia","BC","[-122.5792,49.1661]"
"V1N","Castlegar","British Columbia","BC","[-117.6689,49.2998]"
"V1P","Kelowna East","British Columbia","BC","[-119.1724,49.8959]"
"V1R","Trail","British Columbia","BC","[-117.7022,49.0998]"
"V1S","Kamloops Southwest","British Columbia","BC","[-120.5477,50.5583]"
"V1T","Vernon Central","British Columbia","BC","[-119.2774,50.2604]"
"V1V","Kelowna North","British Columbia","BC","[-119.4339,49.9497]"
"V1W","Kelowna Southwest","British Columbia","BC","[-119.5076,49.812]"
"V1X","Kelowna East Central","British Columbia","BC","[-119.2858,50.0528]"
"V1Y","Kelowna Central","British Columbia","BC","[-119.4852,49.8928]"
"V1Z","Kelowna West","British Columbia","BC","[-119.5833,49.8625]"
"V2A","Penticton","British Columbia","BC","[-119.5858,49.4806]"
"V2B","Kamloops Northwest","British Columbia","BC","[-120.5071,50.8349]"
"V2C","Kamloops Central and Southeast","British Columbia","BC","[-120.0937,50.5437]"
"V2E","Kamloops South and West","British Columbia","BC","[-120.3212,50.6619]"
"V2J","Quesnel","British Columbia","BC","[-122.4931,52.9784]"
"V2H","Kamloops North","British Columbia","BC","[-120.1659,50.7262]"
"V2G","Williams Lake","British Columbia","BC","[-122.1445,52.1415]"
"V2K","Prince George North","British Columbia","BC","[-122.9221,54.0508]"
"V2L","Prince George East Central","British Columbia","BC","[-122.7473,53.9078]"
"V2M","Prince George West Central","British Columbia","BC","[-122.8708,53.9127]"
"V2N","Prince George South","British Columbia","BC","[-122.954,53.6408]"
"V2R","Chilliwack West","British Columbia","BC","[-121.9883,49.076]"
"V2S","Abbotsford Southeast","British Columbia","BC","[-122.2835,49.0423]"
"V2P","Chilliwack Central","British Columbia","BC","[-121.9046,49.1838]"
"V2T","Abbotsford Southwest","British Columbia","BC","[-122.3485,49.0384]"
"V2W","Maple Ridge East","British Columbia","BC","[-122.4851,49.2068]"
"V2V","Mission East","British Columbia","BC","[-122.5047,49.6463]"
"V2X","Maple Ridge West","British Columbia","BC","[-122.6164,49.2196]"
"V3B","Port Coquitlam Central","British Columbia","BC","[-122.7649,49.274]"
"V3A","Langley City","British Columbia","BC","[-122.6526,49.0997]"
"V2Z","Langley Township Southwest","British Columbia","BC","[-122.5997,49.0483]"
"V2Y","Langley Township Northwest","British Columbia","BC","[-122.6236,49.1285]"
"V3C","Port Coquitlam South","British Columbia","BC","[-122.7865,49.2436]"
"V3E","Port Coquitlam North","British Columbia","BC","[-122.7384,49.3167]"
"V3G","Abbotsford East","British Columbia","BC","[-122.178,49.0754]"
"V3H","Port Moody","British Columbia","BC","[-122.8626,49.3231]"
"V3J","Coquitlam North","British Columbia","BC","[-122.8716,49.265]"
"V3L","New Westminster Northeast","British Columbia","BC","[-122.8998,49.2201]"
"V3K","Coquitlam South","British Columbia","BC","[-122.8521,49.2366]"
"V3M","New Westminster Southwest (Includes Annacis Island)","British Columbia","BC","[-122.9384,49.1886]"
"V3N","Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong)","British Columbia","BC","[-122.9301,49.2275]"
"V3R","Surrey North","British Columbia","BC","[-122.8131,49.1948]"
"V3S","Surrey East","British Columbia","BC","[-122.7553,49.0791]"
"V3T","Surrey Inner Northwest","British Columbia","BC","[-122.8454,49.1894]"
"V3W","Surrey Upper West","British Columbia","BC","[-122.8569,49.141]"
"V3V","Surrey Outer Northwest","British Columbia","BC","[-122.873,49.1889]"
"V3Y","Pitt Meadows","British Columbia","BC","[-122.6896,49.2212]"
"V3X","Surrey Lower West","British Columbia","BC","[-122.8576,49.1067]"
"V4A","Surrey Southwest","British Columbia","BC","[-122.8299,49.0374]"
"V4B","White Rock","British Columbia","BC","[-122.8058,49.0259]"
"V4C","Delta Northeast","British Columbia","BC","[-122.9124,49.1551]"
"V4E","Delta East","British Columbia","BC","[-122.9056,49.1197]"
"V4K","Delta Central","British Columbia","BC","[-123.0318,49.0986]"
"V4G","Delta East Central","British Columbia","BC","[-122.995,49.1448]"
"V4L","Delta Southeast","British Columbia","BC","[-123.0456,49.0449]"
"V4P","Surrey South","British Columbia","BC","[-122.8302,49.0561]"
"V4N","Surrey Northeast","British Columbia","BC","[-122.7326,49.1707]"
"V4M","Delta Southwest","British Columbia","BC","[-123.0877,49.0331]"
"V4R","Maple Ridge Northwest","British Columbia","BC","[-122.5169,49.2903]"
"V4S","Mission West","British Columbia","BC","[-122.3574,49.2528]"
"V4T","Westbank","British Columbia","BC","[-119.7387,49.866]"
"V4V","Winfield","British Columbia","BC","[-119.4054,50.0221]"
"V4W","Langley Township East","British Columbia","BC","[-122.4977,49.0713]"
"V4Z","Chilliwack East","British Columbia","BC","[-121.6098,49.0787]"
"V5B","Burnaby (Parkcrest-Aubrey / Ardingley-Sprott)","British Columbia","BC","[-122.9761,49.2769]"
"V5A","Burnaby (Government Road / Lake City / SFU / Burnaby Mountain)","British Columbia","BC","[-122.9369,49.264]"
"V4X","Abbotsford West","British Columbia","BC","[-122.4026,49.0861]"
"V5C","Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley)","British Columbia","BC","[-123.0074,49.274]"
"V5E","Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford)","British Columbia","BC","[-122.9574,49.2272]"
"V5G","Burnaby (Cascade-Schou / Douglas-Gilpin)","British Columbia","BC","[-122.9938,49.2478]"
"V5J","Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend)","British Columbia","BC","[-122.9921,49.2038]"
"V5H","Burnaby (Maywood / Marlborough / Oakalla / Windsor)","British Columbia","BC","[-122.9952,49.2302]"
"V5L","Vancouver (North Grandview- Woodlands)","British Columbia","BC","[-123.0667,49.2795]"
"V5K","Vancouver (North Hastings- Sunrise)","British Columbia","BC","[-123.0397,49.2807]"
"V5M","Vancouver (South Hastings-Sunrise / North Renfrew- Collingwood)","British Columbia","BC","[-123.0398,49.26]"
"V5N","Vancouver (South Grandview- Woodlands / NE Kensington)","British Columbia","BC","[-123.0667,49.2551]"
"V5R","Vancouver (South Renfrew- Collingwood)","British Columbia","BC","[-123.0407,49.2397]"
"V5P","Vancouver (SE Kensington / Victoria- Fraserview)","British Columbia","BC","[-123.0683,49.222]"
"V5S","Vancouver (Killarney)","British Columbia","BC","[-123.038,49.2175]"
"V5V","Vancouver (West Kensington / NE Riley Park- Little Mountain)","British Columbia","BC","[-123.0913,49.248]"
"V5T","Vancouver (East Mount Pleasant)","British Columbia","BC","[-123.0923,49.262]"
"V5W","Vancouver (SE Riley Park- Little Mountain / SW Kensington / NE Oakridge / North Sunset)","British Columbia","BC","[-123.0917,49.2327]"
"V5X","Vancouver (SE Oakridge / East Marpole / South Sunset)","British Columbia","BC","[-123.0979,49.2156]"
"V5Y","Vancouver (West Mount Pleasant / West Riley Park- Little Mountain)","British Columbia","BC","[-123.1104,49.2492]"
"V5Z","Vancouver (East Fairview / South Cambie)","British Columbia","BC","[-123.121,49.2475]"
"V6A","Vancouver (Strathcona / Chinatown / Downtown Eastside)","British Columbia","BC","[-123.0908,49.2779]"
"V6B","Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown)","British Columbia","BC","[-123.1139,49.2788]"
"V6C","Vancouver (Waterfront / Coal Harbour / Canada Place)","British Columbia","BC","[-123.1177,49.2869]"
"V6E","Vancouver (South West End)","British Columbia","BC","[-123.1298,49.2833]"
"V6G","Vancouver (North West End / Stanley Park)","British Columbia","BC","[-123.1408,49.299]"
"V6H","Vancouver (West Fairview / Granville Island / NE Shaughnessy)","British Columbia","BC","[-123.1322,49.2559]"
"V6K","Vancouver (Central Kitsilano)","British Columbia","BC","[-123.1648,49.2646]"
"V6J","Vancouver (NW Shaughnessy / East Kitsilano / Quilchena)","British Columbia","BC","[-123.146,49.2603]"
"V6L","Vancouver (NW Arbutus Ridge)","British Columbia","BC","[-123.166,49.2497]"
"V6M","Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge)","British Columbia","BC","[-123.1451,49.2344]"
